Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (490, 994) -> Global: (71.866609, 18.299181)
Pixel: (489, 993) -> Global: (71.845210, 18.311471)
Pixel: (489, 992) -> Global: (71.823811, 18.311471)
Pixel: (489, 991) -> Global: (71.802412, 18.311471)
Pixel: (489, 990) -> Global: (71.781013, 18.311471)
Pixel: (489, 989) -> Global: (71.759614, 18.311471)
Pixel: (489, 988) -> Global: (71.738216, 18.311471)
Pixel: (489, 987) -> Global: (71.716817, 18.311471)
Pixel: (489, 986) -> Global: (71.695418, 18.311471)
Pixel: (489, 985) -> Global: (71.674019, 18.311471)
Pixel: (489, 984) -> Global: (71.652620, 18.311471)
Pixel: (489, 983) -> Global: (71.631221, 18.311471)
Pixel: (489, 982) -> Global: (71.609823, 18.311471)
Pixel: (489, 981) -> Global: (71.588424, 18.311471)
Pixel: (489, 980) -> Global: (71.567025, 18.311471)
Pixel: (488, 979) -> Global: (71.545626, 18.323761)
Pixel: (487, 978) -> Global: (71.524227, 18.336051)
Pixel: (486, 977) -> Global: (71.502828, 18.348341)
Pixel: (485, 976) -> Global: (71.481430, 18.360631)
Pixel: (484, 975) -> Global: (71.460031, 18.372921)
Pixel: (483, 974) -> Global: (71.438632, 18.385211)
Pixel: (482, 973) -> Global: (71.417233, 18.397501)
Pixel: (481, 972) -> Global: (71.395834, 18.409791)
Pixel: (480, 971) -> Global: (71.374435, 18.422081)
Pixel: (479, 970) -> Global: (71.353037, 18.434371)
Pixel: (478, 969) -> Global: (71.331638, 18.446660)
Pixel: (477, 968) -> Global: (71.310239, 18.458950)
Pixel: (476, 967) -> Global: (71.288840, 18.471240)
Pixel: (475, 966) -> Global: (71.267441, 18.483530)
Pixel: (474, 965) -> Global: (71.246042, 18.495820)
Pixel: (473, 964) -> Global: (71.224644, 18.508110)
Pixel: (472, 963) -> Global: (71.203245, 18.520400)
Pixel: (471, 962) -> Global: (71.181846, 18.532690)
Pixel: (470, 961) -> Global: (71.160447, 18.544980)
Pixel: (469, 960) -> Global: (71.139048, 18.557270)
Pixel: (468, 959) -> Global: (71.117649, 18.569560)
Pixel: (467, 958) -> Global: (71.096251, 18.581850)
Pixel: (466, 957) -> Global: (71.074852, 18.594140)
Pixel: (465, 956) -> Global: (71.053453, 18.606429)
Pixel: (464, 955) -> Global: (71.032054, 18.618719)
Pixel: (463, 954) -> Global: (71.010655, 18.631009)
Pixel: (462, 953) -> Global: (70.989256, 18.643299)
Pixel: (461, 952) -> Global: (70.967858, 18.655589)
Pixel: (460, 951) -> Global: (70.946459, 18.667879)
Pixel: (459, 950) -> Global: (70.925060, 18.680169)
